Comment,Designator,Footprint,LCSC,Quantity
100nF,"C2,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,2
1uF,"C1,C6,C7",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,3
10uF,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19702,1
AO3400A,Q1,SOT-23,C20917,1
1K,"R1,R16",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190,2
3.3K,R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22978,1
"4,7K",R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23162,1
470,"R7,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23179,2
24K,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23352,1
10K,"R12,R13,R14,R15,R2,R4,R5,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,8
TYPE-C16PIN,J5,CONN16_C16PIN_SHN,C393939,1
2.2K,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4190,1
22u,"C5,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C59461,2
AMS1117-3.3,U3,SOT-223-3_TabPin2,C6186,1
1N4148W,D2,D_SOD-123,C81598,1
CH224K,U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
